ID-Lattes	Tipo-Formação	Ano-Inicio	Ano-Conclusão	Instituição	Curso	Bolsa	Agência-da-bolsa	ID-Orientador
3539564256173485	P	2013	2014	Georgia State University		SIM	Conselho Nacional de Desenvolvimento Científico e Tecnológico	
3851480345390580	G	1962	1965	University of London	Psicologia	NAO		
3851480345390580	D	1967	1976	Birkbeck College	Psicologia Organizacional	NAO		
3851480345390580	P	1998	1998	University of Cambridge		SIM	Fundação de Amparo à Pesquisa do Estado de São Paulo	
4727357182510680	G	1996	2000	Universidad Nacional de San Agustín	Engenharia de Sistemas	NAO		
4727357182510680	M	2003	2005	Universidade de São Paulo	Ciências da Computação	SIM	Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	2240951178648368
4727357182510680	D	2005	2010	Universidade de São Paulo	Ciências da Computação	SIM	CAPES - Programa de Estudantes-Convênio de Pós-Graduação	2240951178648368
4727357182510680	P	2011	2012	Universidade de São Paulo		SIM	Conselho Nacional de Desenvolvimento Científico e Tecnológico	
4923576932176873	E	1982	1983	Universidade de São Paulo	Engenharia Ambiental	NAO		
4923576932176873	G	1976	1980	Universidade de São Paulo	Engenharia Civil	NAO		
4923576932176873	M	1984	1986	Universidade Federal de Santa Catarina	Engenharia de Produção	NAO		4823866167175026
4923576932176873	D	1987	1991	Fundação Getúlio Vargas	Administração de Empresas	SIM	Conselho Nacional de Desenvolvimento Científico e Tecnológico	
4923576932176873	D	1989	1991	Lancaster University	Accounting and Finance (Doutorado Sandwich)	SIM	Conselho Nacional de Desenvolvimento Científico e Tecnológico	
4923576932176873	P	2012	2013	Universidade do Minho		SIM	Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	
4923576932176873	P	1999	2000	Columbia University		SIM	Fulbright	
4923576932176873	P	2005	2006	Universitat Pompeu Fabra		SIM	Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	
5322636314530267	G	1979	1984	Escuela Nacional de Antropología e Historia	Licenciatura en Antropologia Social	NAO		
5322636314530267	M	1984	1988	Facultad Latinoamericana de Ciencias Sociales	Maestría en Ciencias Sociales	SIM	Consejo Nacional de Investigaciones Científicas y Técnicas	
5322636314530267	D	1988	1993	Universidade Federal do Rio de Janeiro	Antropologia Social	SIM	Conselho Nacional de Desenvolvimento Científico e Tecnológico	
5736078976141563	E	1973	1973	Universidade Federal de Minas Gerais	Curso de Análise de Processamento de Dados	NAO		
5736078976141563	G	1968	1972	Universidade Federal de Minas Gerais	Engenharia Civil	NAO		
5736078976141563	M	1973	1975	Pontifícia Universidade Católica do Rio de Janeiro	Informática	SIM	Conselho Nacional de Desenvolvimento Científico e Tecnológico	
5736078976141563	D	1983	1986	Universidade de São Paulo	Administração	SIM	Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	3038584733281966
6037766951080411	G	1991	1996	Universidade Estadual de Campinas	Engenharia Elétrica	NAO		
6037766951080411	M	2000	2003	Fundação Getulio Vargas - SP	Administração Pública e Governo	SIM	Conselho Nacional de Desenvolvimento Científico e Tecnológico	7585916430082392
6037766951080411	D	2004	2008	Fundação Getulio Vargas - SP	Administração Pública e Governo	SIM	Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	
6476649401093818	G	1979	1982	Universidade de Ribeirão Preto	Serviço Social	NAO		
6476649401093818	M	1983	1988	Universidade Estadual de Campinas	Educação	SIM	Fundação de Amparo à Pesquisa do Estado de São Paulo	
6476649401093818	D	1993	1997	Universidade de São Paulo	Filosofia	SIM	Conselho Nacional de Desenvolvimento Científico e Tecnológico	4705628195902884
6879546236123358	G	1993	1998	Universidade Federal da Bahia	Engenharia Quimica	NAO		
6879546236123358	M	1998	2000	Instituto Tecnológico de Aeronáutica	Engenharia Eletrônica e Computação	SIM	Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	
6879546236123358	D	2000	2002	Instituto Tecnológico de Aeronáutica	Engenharia Eletrônica e Computação	SIM	Fundação de Amparo à Pesquisa do Estado de São Paulo	
6879546236123358	P	2012	2013	Northwestern University		SIM	Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	
8761482881522916	G	1991	1995	Universidade Federal do Rio de Janeiro	Ciências Econômicas	NAO		
8761482881522916	M	1999	2001	Fundação Getúlio Vargas	Administração	SIM	Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	
8761482881522916	D	2005	2009	Fundação Getúlio Vargas	Administração	NAO		9696422050573770
8761482881522916	P	2017	2018	University of Illinois at Urbana-Champaign		SIM	Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	
9311310817226781	G	1990	1995	Universidade de Brasília	Ciencia Politica	SIM	Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	
9311310817226781	M	1996	1997	Universidade de Brasília	Ciência Política	SIM	Conselho Nacional de Desenvolvimento Científico e Tecnológico	6002784016408127
9311310817226781	D	1998	2004	University of Pittsburgh	Ciência Política	SIM	National Science Foundation	
9311310817226781	P	2009	2010	German Institute of Global and Area Studies		SIM	Conselho Nacional de Desenvolvimento Científico e Tecnológico	
9311310817226781	P	2004	2005	Stony Brook University		SIM	Rockefeller Foundation	
9391282233857282	G	1963	1966	Universität Göttingen	Physik	NAO		
9391282233857282	M	1966	1969	Ludwig-Maximilians-Universität München	Physik	NAO		
9391282233857282	M	1969	1973	Technische Universität München	Arbeits Wirtschaftswissenschafltiches Aufbaustudiu	NAO		
9391282233857282	D	1973	1978	Universitat Erlangen-Nurnberg (Friedrich-Alexander)	Ciências Econômicas e Sociais	NAO		
9391282233857282	P	1992	1993	Friedrich-Alexander-Universitat-Erlangen-Nurnberg		SIM	Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	
9982121532266721	E	2000	2000	Universidade Federal de Pernambuco	FINANÇAS CORPORATIVAS	NAO		
9982121532266721	G	1995	2000	Universidade Católica de Pernambuco	Administração de Empresas	NAO		
9982121532266721	M	2001	2003	Universidade Federal de Pernambuco	Administração	SIM	Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	6093921820124337
9982121532266721	D	2006	2010	Universidade de São Paulo	Administração	NAO		0918330973576272
9982121532266721	P	2010	2011	Escola de Administração de Empresas de São Paulo da Fundação Getulio Vargas		NAO		
9982121532266721	P	2017	2018	University of Texas at Austin		SIM	Fundação de Amparo à Pesquisa do Estado de São Paulo	
9982121532266721	P	2014	2015	Brigham Young University		NAO		
